"U, В","I, uА",5 мА,"U, В","I, uA",3мА,"U, В","I, uA",1.5мА
-27.96,-127.9,,,,,,,
-24.96,-126.9,,-24.98,-74,,-24.98,-37.7,
-22.02,-121.7,,-22.08,-72,,-22.02,-36.5,
-18.98,-118.2,,-19,-69.8,,-19.05,-35.2,
-16.01,-112.9,,-15.99,-67.2,,-16.09,-33.9,
-13.04,-104.8,,-12.99,-63.2,,-13.07,-32.1,
-10.05,-92.8,,-10.06,-56.9,,-10.03,-29.1,
-8.01,-82.2,,-8.01,-50.3,,-8.04,-26.1,
-6.01,-69.3,,-6,-42,,-6.03,-22,
-4,-54,,-4.02,-31.9,,-4.02,-16.7,
-2,-36.2,,-2.02,-19.9,,-2.01,-10.1,
-0.51,-21.3,,-0.5,-9.9,,-0.52,-4.7,
0.51,9.6,,0.5,1.8,,0.5,0.1,
2.04,25.3,,2.03,11.9,,2.01,5.6,
4.02,43.3,,4.02,23.7,,3.98,12.1,
6.02,58.8,,6,33.6,,6.01,17.5,
8.06,72,,8.02,41.9,,8.04,21.6,
10.03,82.4,,10.08,48.3,,10.02,24.6,
13.03,94.1,,13,54.4,,13.08,27.5,
15.99,101.4,,16.01,57.9,,16.01,29.1,
19.01,106.1,,19.01,60.2,,19,30.2,
22.01,109.1,,22.08,62,,22.05,31.3,
24.97,111.7,,24.99,63.8,,24.98,32.4,
